Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 5.00e-04 (adaptive: 50 iterations),
          sigma = 1.00e-04, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
12800  -1.9500e-01   3.63e-05   2.70e-07  -1.20e-03   3.63e-05   3.60e-04    6.60e+01s
13000  -1.9502e-01   6.85e-05   2.70e-07  -1.19e-03   6.85e-05   3.60e-04    6.70e+01s
13200  -1.9504e-01   5.55e-05   2.63e-07  -1.17e-03   5.55e-05   3.60e-04    6.80e+01s
13400  -1.9505e-01   5.99e-04   2.63e-07  -1.15e-03   5.99e-04   1.89e-03*   6.91e+01s
13500  -1.9505e-01   3.22e-07   2.62e-07  -1.15e-03   3.22e-07   2.30e-04*   6.96e+01s
13600  -1.9507e-01   4.23e-05   2.58e-07  -1.13e-03   4.23e-05   2.30e-04    7.02e+01s
13750  -1.9508e-01   1.17e-03   2.55e-07  -1.11e-03   1.17e-03   1.71e-03*   7.10e+01s
13800  -1.9508e-01   9.32e-06   2.55e-07  -1.11e-03   9.32e-06   1.71e-03    7.13e+01s
14000  -1.9509e-01   5.71e-07   2.48e-07  -1.10e-03   5.71e-07   2.86e-04*   7.23e+01s
14200  -1.9511e-01   2.18e-05   2.45e-07  -1.09e-03   2.18e-05   2.86e-04    7.34e+01s
14400  -1.9512e-01   1.21e-05   2.39e-07  -1.05e-03   1.21e-05   2.86e-04    7.44e+01s
14600  -1.9514e-01   2.24e-05   2.35e-07  -1.04e-03   2.24e-05   2.86e-04    7.53e+01s
14800  -1.9515e-01   3.32e-04   2.34e-07  -1.03e-03   3.32e-04   2.86e-04    7.63e+01s
14900  -1.9516e-01   5.20e-04   2.33e-07  -1.02e-03   5.20e-04   1.48e-03*   7.68e+01s
14950  -1.9516e-01   3.94e-08   2.33e-07  -1.02e-03   2.33e-07   6.71e-05*   7.71e+01s
15000  -1.9517e-01   2.85e-04   2.32e-07  -1.01e-03   2.85e-04   6.71e-05    7.75e+01s
15200  -1.9521e-01   6.21e-04   2.29e-07  -9.82e-04   6.21e-04   3.84e-04*   7.85e+01s
15400  -1.9522e-01   7.29e-05   2.28e-07  -9.74e-04   7.29e-05   3.84e-04    7.96e+01s
15500  -1.9522e-01   5.62e-07   2.28e-07  -9.74e-04   5.62e-07   6.63e-05*   8.01e+01s
15600  -1.9524e-01   2.09e-04   2.26e-07  -9.52e-04   2.09e-04   6.63e-05    8.07e+01s
15650  -1.9525e-01   1.33e-03   2.20e-07  -9.46e-04   1.33e-03   5.67e-04*   8.09e+01s
15750  -1.9525e-01   6.16e-07   2.20e-07  -9.41e-04   6.16e-07   1.04e-04*   8.15e+01s
15800  -1.9525e-01   5.86e-04   2.20e-07  -9.37e-04   5.86e-04   5.93e-04*   8.18e+01s
16000  -1.9526e-01   9.60e-06   2.20e-07  -9.31e-04   9.60e-06   5.93e-04    8.29e+01s
16150  -1.9527e-01   2.08e-07   2.20e-07  -9.29e-04   2.20e-07   6.35e-05*   8.37e+01s
16200  -1.9527e-01   3.26e-04   2.20e-07  -9.16e-04   3.26e-04   6.35e-05    8.40e+01s
16300  -1.9529e-01   1.51e-03   2.20e-07  -9.07e-04   1.51e-03   5.77e-04*   8.45e+01s
16350  -1.9529e-01   1.51e-07   2.20e-07  -9.07e-04   2.20e-07   5.26e-05*   8.48e+01s
16400  -1.9530e-01   2.11e-04   2.20e-07  -9.07e-04   2.11e-04   5.26e-05    8.51e+01s
16500  -1.9531e-01   8.90e-04   2.21e-07  -8.97e-04   8.90e-04   3.67e-04*   8.57e+01s
16600  -1.9532e-01   1.40e-05   2.21e-07  -8.97e-04   1.40e-05   3.67e-04    8.62e+01s
16800  -1.9533e-01   1.14e-05   1.82e-07  -8.94e-04   1.14e-05   3.67e-04    8.72e+01s
17000  -1.9533e-01   1.66e-04   1.80e-07  -8.78e-04   1.66e-04   3.67e-04    8.83e+01s
17200  -1.9534e-01   6.35e-07   1.77e-07  -8.68e-04   6.35e-07   3.67e-04    8.93e+01s
17350  -1.9535e-01   3.12e-07   1.74e-07  -8.59e-04   3.12e-07   5.40e-05*   9.00e+01s
17400  -1.9536e-01   1.46e-04   1.74e-07  -8.58e-04   1.46e-04   5.40e-05    9.03e+01s
17450  -1.9536e-01   6.55e-04   1.74e-07  -8.56e-04   6.55e-04   3.64e-04*   9.06e+01s
17600  -1.9537e-01   3.85e-06   1.74e-07  -8.45e-04   3.85e-06   3.64e-04    9.14e+01s
17800  -1.9538e-01   1.24e-05   1.66e-07  -8.42e-04   1.24e-05   3.64e-04    9.24e+01s
18000  -1.9538e-01   2.36e-05   1.66e-07  -8.38e-04   2.36e-05   3.64e-04    9.34e+01s
18200  -1.9539e-01   3.49e-05   1.60e-07  -8.30e-04   3.49e-05   3.64e-04    9.45e+01s
18400  -1.9540e-01   3.03e-06   1.60e-07  -8.28e-04   3.03e-06   3.64e-04    9.55e+01s
18600  -1.9541e-01   9.76e-06   1.60e-07  -8.26e-04   9.76e-06   3.64e-04    9.65e+01s
18700  -1.9541e-01   3.85e-04   1.60e-07  -8.22e-04   3.85e-04   1.96e-03*   9.70e+01s
18750  -1.9541e-01   6.03e-08   1.58e-07  -8.20e-04   1.58e-07   1.33e-04*   9.73e+01s
18800  -1.9542e-01   6.39e-05   1.58e-07  -8.16e-04   6.39e-05   1.33e-04    9.77e+01s
18900  -1.9542e-01   6.26e-04   1.58e-07  -8.07e-04   6.26e-04   9.21e-04*   9.82e+01s
19000  -1.9542e-01   8.34e-07   1.58e-07  -8.06e-04   8.34e-07   9.21e-04    9.88e+01s
19050  -1.9542e-01   1.21e-07   1.58e-07  -8.06e-04   1.58e-07   8.86e-05*   9.90e+01s
19200  -1.9544e-01   1.90e-04   1.57e-07  -7.82e-04   1.90e-04   8.86e-05    9.99e+01s
19250  -1.9544e-01   4.46e-04   1.57e-07  -7.77e-04   4.46e-04   5.20e-04*   1.00e+02s
19400  -1.9545e-01   3.90e-05   1.57e-07  -7.68e-04   3.90e-05   5.20e-04    1.01e+02s
19600  -1.9545e-01   5.12e-05   1.54e-07  -7.60e-04   5.12e-05   5.20e-04    1.02e+02s
19800  -1.9546e-01   1.05e-05   1.54e-07  -7.54e-04   1.05e-05   5.20e-04    1.03e+02s
20000  -1.9546e-01   6.80e-07   1.55e-07  -7.48e-04   6.80e-07   5.20e-04    1.04e+02s
20150  -1.9546e-01   4.29e-07   1.55e-07  -7.43e-04   4.29e-07   9.50e-05*   1.05e+02s
20200  -1.9547e-01   5.80e-04   1.55e-07  -7.40e-04   5.80e-04   6.38e-04*   1.05e+02s
20350  -1.9547e-01   3.00e-07   1.48e-07  -7.36e-04   3.00e-07   1.00e-04*   1.06e+02s
20400  -1.9547e-01   1.01e-04   1.48e-07  -7.33e-04   1.01e-04   1.00e-04    1.06e+02s
20450  -1.9548e-01   8.45e-04   1.48e-07  -7.28e-04   8.45e-04   8.30e-04*   1.07e+02s
20500  -1.9548e-01   2.63e-07   1.48e-07  -7.28e-04   2.63e-07   1.22e-04*   1.07e+02s
20550  -1.9548e-01   3.47e-04   1.48e-07  -7.26e-04   3.47e-04   6.47e-04*   1.07e+02s
20600  -1.9548e-01   1.26e-05   1.48e-07  -7.23e-04   1.26e-05   6.47e-04    1.08e+02s
20700  -1.9548e-01   2.85e-07   1.48e-07  -7.21e-04   2.85e-07   9.87e-05*   1.08e+02s
20800  -1.9549e-01   1.34e-04   1.45e-07  -7.19e-04   1.34e-04   9.87e-05    1.09e+02s
20850  -1.9549e-01   3.18e-04   1.45e-07  -7.14e-04   3.18e-04   5.09e-04*   1.09e+02s
20900  -1.9550e-01   2.42e-07   1.45e-07  -7.15e-04   2.42e-07   7.23e-05*   1.09e+02s
20950  -1.9550e-01   5.03e-04   1.42e-07  -7.09e-04   5.03e-04   4.73e-04*   1.10e+02s
21000  -1.9550e-01   1.35e-06   1.43e-07  -7.09e-04   1.35e-06   4.73e-04    1.10e+02s
21200  -1.9550e-01   6.54e-06   1.43e-07  -7.01e-04   6.54e-06   4.73e-04    1.11e+02s
21400  -1.9551e-01   7.63e-06   1.44e-07  -6.96e-04   7.63e-06   4.73e-04    1.12e+02s
21600  -1.9551e-01   3.50e-07   1.44e-07  -6.90e-04   3.50e-07   8.09e-05*   1.13e+02s
21800  -1.9553e-01   5.14e-04   1.45e-07  -6.78e-04   5.14e-04   5.29e-04*   1.14e+02s
21900  -1.9553e-01   8.24e-08   1.45e-07  -6.75e-04   1.45e-07   4.38e-05*   1.15e+02s
21950  -1.9553e-01   3.76e-04   1.45e-07  -6.73e-04   3.76e-04   2.45e-04*   1.15e+02s
22000  -1.9553e-01   6.79e-06   1.45e-07  -6.71e-04   6.79e-06   2.45e-04    1.15e+02s
22200  -1.9554e-01   3.70e-05   1.45e-07  -6.65e-04   3.70e-05   2.45e-04    1.16e+02s
22400  -1.9555e-01   1.46e-06   1.45e-07  -6.59e-04   1.46e-06   2.45e-04    1.17e+02s
22600  -1.9555e-01   8.08e-05   1.45e-07  -6.53e-04   8.08e-05   2.45e-04    1.18e+02s
22800  -1.9556e-01   1.74e-06   1.37e-07  -6.45e-04   1.74e-06   2.45e-04    1.19e+02s
23000  -1.9557e-01   3.51e-05   1.37e-07  -6.40e-04   3.51e-05   2.45e-04    1.20e+02s
23200  -1.9557e-01   1.10e-05   1.37e-07  -6.32e-04   1.10e-05   2.45e-04    1.21e+02s
23400  -1.9558e-01   3.43e-06   1.37e-07  -6.29e-04   3.43e-06   2.45e-04    1.22e+02s
23600  -1.9558e-01   1.51e-05   1.17e-07  -6.20e-04   1.51e-05   2.45e-04    1.23e+02s
23800  -1.9559e-01   1.26e-05   1.17e-07  -6.22e-04   1.26e-05   2.45e-04    1.24e+02s
24000  -1.9559e-01   2.81e-06   1.17e-07  -6.17e-04   2.81e-06   2.45e-04    1.25e+02s
24200  -1.9560e-01   1.01e-05   1.14e-07  -6.07e-04   1.01e-05   2.45e-04    1.26e+02s
24400  -1.9561e-01   2.68e-05   1.13e-07  -6.01e-04   2.68e-05   2.45e-04    1.27e+02s
24600  -1.9561e-01   3.61e-05   1.13e-07  -5.98e-04   3.61e-05   2.45e-04    1.28e+02s
24800  -1.9562e-01   2.91e-05   1.09e-07  -5.93e-04   2.91e-05   2.45e-04    1.29e+02s
25000  -1.9562e-01   1.12e-04   1.09e-07  -5.89e-04   1.12e-04   2.45e-04    1.30e+02s
25200  -1.9563e-01   1.77e-05   1.07e-07  -5.86e-04   1.77e-05   2.45e-04    1.32e+02s
25250  -1.9563e-01   1.22e-07   1.07e-07  -5.87e-04   1.22e-07   2.88e-05*   1.32e+02s
25350  -1.9563e-01   4.17e-04   1.06e-07  -5.83e-04   4.17e-04   1.99e-04*   1.32e+02s
25400  -1.9563e-01   2.27e-05   1.06e-07  -5.82e-04   2.27e-05   1.99e-04    1.33e+02s
25600  -1.9564e-01   1.52e-05   1.04e-07  -5.80e-04   1.52e-05   1.99e-04    1.34e+02s
25800  -1.9565e-01   3.91e-05   1.04e-07  -5.77e-04   3.91e-05   1.99e-04    1.35e+02s
