Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 5.00e-04 (adaptive: 50 iterations),
          sigma = 1.00e-06, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
13400  -1.9406e-01   1.16e-04   5.55e-07  -1.97e-03   1.16e-04   5.89e-04    6.89e+01s
13600  -1.9411e-01   9.39e-05   5.54e-07  -1.95e-03   9.39e-05   5.89e-04    6.99e+01s
13800  -1.9416e-01   1.12e-03   5.49e-07  -1.93e-03   1.12e-03   5.89e-04    7.09e+01s
14000  -1.9420e-01   5.58e-05   5.26e-07  -1.91e-03   5.58e-05   5.89e-04    7.19e+01s
14200  -1.9425e-01   2.39e-04   5.21e-07  -1.86e-03   2.39e-04   5.89e-04    7.29e+01s
14400  -1.9429e-01   4.00e-05   5.00e-07  -1.84e-03   4.00e-05   5.89e-04    7.39e+01s
14600  -1.9433e-01   4.23e-04   4.93e-07  -1.78e-03   4.23e-04   5.89e-04    7.49e+01s
14800  -1.9437e-01   9.99e-04   4.89e-07  -1.76e-03   9.99e-04   5.89e-04    7.59e+01s
15000  -1.9440e-01   7.92e-05   4.83e-07  -1.74e-03   7.92e-05   5.89e-04    7.69e+01s
15200  -1.9444e-01   4.20e-05   4.77e-07  -1.70e-03   4.20e-05   5.89e-04    7.80e+01s
15400  -1.9447e-01   8.04e-05   4.75e-07  -1.69e-03   8.04e-05   5.89e-04    7.90e+01s
15600  -1.9450e-01   6.14e-05   4.78e-07  -1.66e-03   6.14e-05   5.89e-04    8.00e+01s
15800  -1.9453e-01   1.48e-05   4.80e-07  -1.65e-03   1.48e-05   5.89e-04    8.10e+01s
16000  -1.9456e-01   1.84e-04   4.81e-07  -1.63e-03   1.84e-04   5.89e-04    8.20e+01s
16200  -1.9459e-01   4.34e-04   4.84e-07  -1.60e-03   4.34e-04   5.89e-04    8.30e+01s
16400  -1.9462e-01   3.37e-05   3.95e-07  -1.55e-03   3.37e-05   5.89e-04    8.40e+01s
16600  -1.9464e-01   1.88e-05   3.94e-07  -1.53e-03   1.88e-05   5.89e-04    8.50e+01s
16800  -1.9467e-01   3.88e-05   3.76e-07  -1.51e-03   3.88e-05   5.89e-04    8.60e+01s
17000  -1.9469e-01   2.89e-04   3.62e-07  -1.47e-03   2.89e-04   5.89e-04    8.70e+01s
17200  -1.9472e-01   3.96e-05   3.61e-07  -1.45e-03   3.96e-05   5.89e-04    8.80e+01s
17400  -1.9474e-01   5.50e-05   3.53e-07  -1.43e-03   5.50e-05   5.89e-04    8.90e+01s
17600  -1.9476e-01   3.16e-05   3.53e-07  -1.41e-03   3.16e-05   5.89e-04    9.00e+01s
17800  -1.9478e-01   1.26e-05   3.52e-07  -1.40e-03   1.26e-05   5.89e-04    9.10e+01s
18000  -1.9480e-01   1.60e-05   3.51e-07  -1.39e-03   1.60e-05   5.89e-04    9.21e+01s
18200  -1.9482e-01   2.91e-05   3.42e-07  -1.37e-03   2.91e-05   5.89e-04    9.31e+01s
18400  -1.9484e-01   8.36e-04   3.42e-07  -1.35e-03   8.36e-04   3.20e-03*   9.41e+01s
18450  -1.9484e-01   7.34e-09   3.42e-07  -1.34e-03   3.42e-07   5.16e-05*   9.44e+01s
18500  -1.9489e-01   3.37e-03   3.43e-07  -1.30e-03   3.37e-03   5.62e-04*   9.47e+01s
18600  -1.9490e-01   4.13e-05   3.43e-07  -1.28e-03   4.13e-05   5.62e-04    9.53e+01s
18650  -1.9491e-01   7.53e-04   3.07e-07  -1.28e-03   7.53e-04   3.06e-03*   9.56e+01s
18800  -1.9491e-01   2.32e-06   2.96e-07  -1.28e-03   2.32e-06   3.06e-03    9.64e+01s
18850  -1.9491e-01   3.88e-07   2.96e-07  -1.27e-03   3.88e-07   3.85e-04*   9.66e+01s
19000  -1.9493e-01   1.37e-03   2.95e-07  -1.25e-03   1.37e-03   2.89e-03*   9.75e+01s
