Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 1.00e-01 (adaptive: 50 iterations),
          sigma = 1.00e-06, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
16800  -1.9325e-01   7.75e-05   8.89e-07  -2.77e-03   7.75e-05   1.71e-03    8.58e+01s
17000  -1.9329e-01   7.19e-06   8.89e-07  -2.76e-03   7.19e-06   1.71e-03    8.68e+01s
17200  -1.9333e-01   5.17e-05   8.88e-07  -2.72e-03   5.17e-05   1.71e-03    8.78e+01s
17400  -1.9336e-01   4.94e-05   8.87e-07  -2.69e-03   4.94e-05   1.71e-03    8.88e+01s
17500  -1.9338e-01   2.20e-06   8.87e-07  -2.68e-03   2.20e-06   2.97e-04*   8.93e+01s
17550  -1.9343e-01   3.37e-03   8.83e-07  -2.59e-03   3.37e-03   2.02e-03*   8.97e+01s
17600  -1.9343e-01   6.50e-05   8.47e-07  -2.58e-03   6.50e-05   2.02e-03    9.00e+01s
17800  -1.9346e-01   4.11e-06   8.47e-07  -2.56e-03   4.11e-06   2.02e-03    9.10e+01s
18000  -1.9349e-01   4.83e-05   8.46e-07  -2.54e-03   4.83e-05   2.02e-03    9.20e+01s
18200  -1.9351e-01   1.14e-05   8.00e-07  -2.49e-03   1.14e-05   2.02e-03    9.30e+01s
18400  -1.9354e-01   1.50e-04   7.82e-07  -2.47e-03   1.50e-04   2.02e-03    9.40e+01s
18600  -1.9356e-01   1.72e-04   7.82e-07  -2.44e-03   1.72e-04   2.02e-03    9.50e+01s
18800  -1.9359e-01   6.89e-06   7.81e-07  -2.44e-03   6.89e-06   2.02e-03    9.60e+01s
18900  -1.9360e-01   2.43e-06   7.81e-07  -2.43e-03   2.43e-06   3.91e-04*   9.65e+01s
19000  -1.9366e-01   4.09e-04   7.80e-07  -2.37e-03   4.09e-04   3.91e-04    9.70e+01s
19200  -1.9377e-01   1.84e-04   7.22e-07  -2.24e-03   1.84e-04   3.91e-04    9.80e+01s
19400  -1.9386e-01   1.48e-04   6.72e-07  -2.15e-03   1.48e-04   3.91e-04    9.90e+01s
19600  -1.9395e-01   2.72e-04   6.07e-07  -2.08e-03   2.72e-04   3.91e-04    1.00e+02s
19700  -1.9399e-01   1.84e-03   6.06e-07  -2.05e-03   1.84e-03   2.37e-03*   1.01e+02s
19750  -1.9400e-01   8.74e-07   6.06e-07  -2.05e-03   8.74e-07   3.13e-04*   1.01e+02s
19800  -1.9402e-01   2.16e-03   5.88e-07  -2.03e-03   2.16e-03   2.08e-03*   1.01e+02s
20000  -1.9404e-01   7.36e-06   5.88e-07  -2.01e-03   7.36e-06   2.08e-03    1.02e+02s
20200  -1.9405e-01   1.95e-05   5.56e-07  -2.01e-03   1.95e-05   2.08e-03    1.03e+02s
20300  -1.9406e-01   3.22e-07   5.56e-07  -2.01e-03   5.56e-07   1.75e-04*   1.04e+02s
20400  -1.9414e-01   3.16e-04   5.49e-07  -1.97e-03   3.16e-04   1.75e-04    1.04e+02s
20550  -1.9426e-01   1.72e-03   5.25e-07  -1.89e-03   1.72e-03   1.10e-03*   1.05e+02s
20600  -1.9426e-01   2.34e-05   5.24e-07  -1.89e-03   2.34e-05   1.10e-03    1.05e+02s
20800  -1.9428e-01   6.81e-05   5.00e-07  -1.87e-03   6.81e-05   1.10e-03    1.06e+02s
21000  -1.9430e-01   9.43e-05   5.00e-07  -1.83e-03   9.43e-05   1.10e-03    1.07e+02s
21200  -1.9433e-01   4.54e-05   4.94e-07  -1.81e-03   4.54e-05   1.10e-03    1.08e+02s
21400  -1.9435e-01   2.86e-05   4.92e-07  -1.79e-03   2.86e-05   1.10e-03    1.09e+02s
21600  -1.9437e-01   2.59e-06   4.90e-07  -1.79e-03   2.59e-06   1.10e-03    1.10e+02s
21800  -1.9439e-01   2.10e-04   4.87e-07  -1.77e-03   2.10e-04   1.10e-03    1.11e+02s
22000  -1.9440e-01   1.55e-06   4.84e-07  -1.76e-03   1.55e-06   2.16e-04*   1.12e+02s
22050  -1.9443e-01   2.06e-03   4.79e-07  -1.74e-03   2.06e-03   1.56e-03*   1.13e+02s
22200  -1.9444e-01   1.37e-04   4.78e-07  -1.72e-03   1.37e-04   1.56e-03    1.14e+02s
22300  -1.9444e-01   8.34e-07   4.77e-07  -1.72e-03   8.34e-07   2.27e-04*   1.14e+02s
22400  -1.9449e-01   5.19e-04   4.78e-07  -1.70e-03   5.19e-04   2.27e-04    1.15e+02s
22550  -1.9455e-01   1.25e-03   4.82e-07  -1.66e-03   1.25e-03   1.27e-03*   1.16e+02s
22600  -1.9455e-01   2.33e-04   4.83e-07  -1.65e-03   2.33e-04   1.27e-03    1.16e+02s
22800  -1.9456e-01   2.21e-06   4.85e-07  -1.64e-03   2.21e-06   1.27e-03    1.17e+02s
22950  -1.9457e-01   5.29e-07   4.86e-07  -1.64e-03   5.29e-07   1.46e-04*   1.18e+02s
23000  -1.9460e-01   1.36e-03   4.85e-07  -1.61e-03   1.36e-03   8.51e-04*   1.18e+02s
23200  -1.9462e-01   3.72e-05   4.86e-07  -1.59e-03   3.72e-05   8.51e-04    1.19e+02s
23400  -1.9464e-01   5.23e-04   4.84e-07  -1.58e-03   5.23e-04   8.51e-04    1.20e+02s
23600  -1.9466e-01   1.76e-04   3.94e-07  -1.54e-03   1.76e-04   8.51e-04    1.21e+02s
23800  -1.9467e-01   1.91e-05   3.76e-07  -1.53e-03   1.91e-05   8.51e-04    1.22e+02s
